epoch,g_loss,d_loss,d_real,d_fake,gp,feature_matching,pixel_diversity,epoch_time
1,58.73976953251312,-32.23197496057913,-12.547130867179517,-56.90828499866723,1.2129179269084813,0.41294513509893327,0.4494857017862729,608.7019336223602
2,94.56356755063022,-25.291117553011656,-58.761343659402144,-93.1797584215398,0.9127297201176208,0.2687477943058032,0.4810188614553021,603.3484463691711
3,99.58596962148494,-19.74939822668372,-72.15211416647196,-98.50586256757849,0.66043501969441,0.22199263934497582,0.5070077982364278,598.9752073287964
4,98.14281407162632,-18.449139449750128,-72.6720686356729,-97.25983057612866,0.6138622465669431,0.20478606690604953,0.5130457986690514,602.8555376529694
5,98.09938120253851,-17.70812354708743,-73.73750614306115,-97.34964277650855,0.5904013083967488,0.19525836693720303,0.5151302892523879,598.8435263633728
6,98.98024054729578,-17.072871528895554,-75.47330747814155,-98.27763923230273,0.5731460221027002,0.18746819841026358,0.5159032334658232,596.2891869544983
7,99.0662340746885,-16.526650604797826,-76.3955328805106,-98.47084233974837,0.5548658858226464,0.18214581544869765,0.5166773509368499,595.2510237693787
8,98.91174278765973,-15.943414272158849,-76.8881377595113,-98.19084289492909,0.5359290866499152,0.17938110088148423,0.5163490359425771,595.923877954483
9,98.88073785377271,-15.389748206180808,-77.73333314878751,-98.26454653540996,0.5141465178915734,0.17451643184617613,0.5178865961391818,595.2309699058533
10,98.31163955775338,-14.815219384831213,-77.92574219637363,-97.65640425169664,0.49154426602531326,0.1705366012267415,0.518704467186213,595.0750389099121
11,96.66551085441343,-14.338436747622097,-76.94285013461686,-96.04657962861766,0.47652927400866896,0.16570698759700586,0.5191650635490381,594.7336552143097
12,96.39136203130086,-13.88114579438259,-77.31625708617392,-95.80771579091378,0.46103129108753127,0.1622260743752122,0.5185408811226035,598.7988059520721
13,97.09677895649108,-13.487930091081468,-78.67985927711997,-96.61869032675337,0.4450900957798385,0.15669362377057267,0.5210003118248094,625.8967082500458
14,97.68097077284638,-13.048872226107436,-79.86303689717946,-97.18573548308515,0.4273826367446656,0.15293210476241031,0.5216976697123706,596.3663346767426
15,96.69179497343121,-12.67098752406394,-79.42220782389683,-96.22032784752538,0.41271325121203956,0.14960710899057714,0.5219273774348425,598.4259712696075
16,96.36840931785628,-12.369720374889832,-79.34574458993943,-95.73631393683394,0.40208489789277807,0.14687091069723668,0.5226416146167089,594.3532068729401
17,95.86245122399231,-12.091157396885599,-79.40205488916294,-95.39367532549254,0.39004630451332,0.14361921437720873,0.5220231818180157,594.0103952884674
18,96.01395410479921,-11.77851342853493,-79.89718970336142,-95.45101839974616,0.37753152610397367,0.14018683286496636,0.5233006758446043,592.9656884670258
19,96.45029413270316,-11.554004239975727,-80.70257792129227,-95.93931458541928,0.3682732427853022,0.13831013204985823,0.5242096630739759,597.0172374248505
20,97.18400261026632,-11.332502821151888,-81.73136195340741,-96.66943345389384,0.36055686843832285,0.13648313962531045,0.5238040342389746,593.2085359096527
21,97.54067182540894,-11.108100343142388,-82.48525293979573,-97.09246369469182,0.3499110410067661,0.13462689585249984,0.5236513507411336,593.3176026344299
22,97.36981269213913,-10.886581702419237,-82.56511430704187,-96.87730035408107,0.34256043432070843,0.13206479667316579,0.5247821643298219,594.6052079200745
23,97.13639830095266,-10.737494549769366,-82.53093129192985,-96.64066780080687,0.3372241956536221,0.13097414869171844,0.5239359539079937,594.8623089790344
24,97.12236811897971,-10.569464306765049,-82.72032553748747,-96.58317912182524,0.3293389273918082,0.12892074205658652,0.5254952709444545,598.1000273227692
25,97.35116920254036,-10.410087590271845,-83.24478224164767,-96.8903846981854,0.32355148735186545,0.12820479600377507,0.5253722235645244,597.6666009426117
26,96.62729465260225,-10.260805479343864,-82.75950387214439,-96.20365516575791,0.3183345819921168,0.1263883552837417,0.5271019838905877,596.8372781276703
27,96.55410100474502,-10.085598092917094,-82.88902513718635,-96.0809757941592,0.310635256207773,0.12607165249629002,0.5268751720361637,599.2875730991364
28,96.55746545375412,-10.005235422426168,-82.9821394330783,-96.07575329998802,0.3088378440329685,0.1252896688327165,0.5255809804067666,598.8781533241272
29,96.1167955923352,-9.900553629461642,-82.70006903203489,-95.64984090349316,0.3049218245651267,0.12379551579931881,0.5260164613289444,598.7540137767792
30,96.59565359173399,-9.785407748445397,-83.46836187022676,-96.2528534128452,0.2999083796885764,0.1229718359271911,0.526360652099053,598.347903251648
