epoch,g_loss,d_loss,d_real,d_fake,gp,feature_matching,pixel_diversity,epoch_time
1,11.389418077839988,-12.536430660112467,6.247991273057201,-8.299765608168657,0.31251257888303996,0.7900961314983826,0.44329352656146215,696.7020080089569
2,4.776079896239354,-9.253570961590512,7.345257011125648,-2.904168457982004,0.11173060056359028,0.4620216959421011,0.5075067935414923,617.339635848999
3,5.183562536079875,-8.706057520039314,6.109597202409271,-3.464400105143034,0.09857628903294031,0.4647980226126091,0.5105689083203655,618.5363283157349
1,10.867331085017824,-12.093779312336038,6.093765993257596,-7.847640406066026,0.291516038411981,0.7200129294365305,0.45272466118356824,317.1299788951874
2,4.058340572687301,-8.949666399645293,7.5905861167894155,-2.2852293304444378,0.11048424319810364,0.45084446826867297,0.5092526886767593,313.85494232177734
3,5.345093368560867,-8.734941387447787,6.123152403149156,-3.477179928074029,0.10094333720286336,0.46216708772101084,0.5128960075179485,313.6804437637329
4,4.3982330033303665,-7.359896345852901,4.469978743488282,-3.585254552495088,0.08614725624146376,0.4203273424532561,0.5223791155818138,316.3386960029602
5,4.216320324025097,-6.3086023625320795,3.821709691719935,-3.0401469160120946,0.07157685711165106,0.3891282190113092,0.5275741647528638,316.292848110199
6,3.513667647798655,-5.90076753448144,3.604022874646407,-2.753463043575793,0.059587997180090654,0.3725087857427247,0.529118772629088,316.0627329349518
7,2.9778920356301986,-5.6356523082922445,3.53552973419475,-2.5163189929035195,0.05480548059426521,0.36408566976467666,0.5307791669359702,315.1318473815918
8,3.007029841770565,-5.410645262179272,3.395373854637805,-2.406211835860867,0.052907108217383605,0.36656396865241897,0.5317971424568166,316.0620188713074
9,2.9351433538248957,-5.20031495235964,3.255777475462965,-2.304174240815127,0.05081518754532605,0.37132320505026467,0.5322298073738474,315.72207832336426
10,2.897046993725595,-5.047009338319829,3.2344833304622833,-2.1510961950202057,0.048484057326378435,0.3769254055999775,0.5325569096769003,316.1523952484131
11,2.853110817794402,-4.887185468798793,3.1636390738500055,-2.0487851357186395,0.04682299515112349,0.37871737252595905,0.5329010392410867,314.3349232673645
12,2.5135833672548062,-4.743424133012629,3.1026334445805825,-1.9483669081375512,0.044712080045658555,0.37919836644879185,0.5319755644774166,316.0669376850128
13,2.5492807571151013,-4.618227030022256,3.060427727180094,-1.8531975521130297,0.042734897020243474,0.3840157687664032,0.5335030852618019,316.2054181098938
14,2.3154806428495913,-4.480504125243644,2.99184113193666,-1.7696267773812888,0.041134214212979026,0.38468400525534346,0.5332825442331027,316.28336453437805
15,2.134592130243326,-4.369326486448874,2.962082330464808,-1.6724059925156771,0.03886568103593158,0.38389017658046765,0.5337647760261024,314.3938546180725
16,2.2064034655953932,-4.2674685136030055,2.9262451434792895,-1.5935890607326262,0.03719158537153687,0.3870192560851197,0.5338764772779873,315.8904845714569
17,2.0339792973436084,-4.166096383265388,2.8659267403449107,-1.5428576633079842,0.03550534958947643,0.38488341990373226,0.533650306172377,316.14081287384033
18,1.9286343335314136,-4.0789166342669585,2.8178307458984415,-1.494882810387558,0.03369446504124065,0.3861605261279418,0.5339788230496321,314.58661818504333
19,1.853741198316612,-3.9893488655274196,2.829528706809965,-1.375855649047909,0.03153209991731908,0.3837750062026206,0.5351410565424508,315.9794201850891
20,1.8868256322427284,-3.8958751738598916,2.773822253358029,-1.3287345957854002,0.030120641151478444,0.38658071099280106,0.534447754755635,314.9382846355438
21,1.752804751558566,-3.815384207159168,2.6959863476992108,-1.3200583747292571,0.028738963787706497,0.3855259509665324,0.5339850823662223,315.847852230072
22,1.7782004439235488,-3.748968013846015,2.6855880634531886,-1.255298312473218,0.027474342655819075,0.383925675253199,0.533736203925498,315.9859824180603
23,1.6983312036272247,-3.669020012378994,2.648466687362203,-1.2032920732416033,0.026122352257005956,0.38352008945721894,0.5341477952473686,315.67679834365845
24,1.5683202942746177,-3.6059080728349735,2.598132831347087,-1.1875288872761762,0.025619218255821193,0.3824420234496916,0.5341774530416795,314.65388083457947
25,1.662593464916937,-3.5210305320854887,2.5508700249346936,-1.1390400357089947,0.02446193819925632,0.3797993624556984,0.5348768022132734,315.3904025554657
26,1.533997916862576,-3.460990050725177,2.516643963146639,-1.1073457273841847,0.02358938168054953,0.37782329260624764,0.5351150402076326,315.40904808044434
27,1.4203210485682325,-3.396993594434861,2.5042763374505657,-1.049245381235662,0.022507729940705105,0.3759916236367449,0.5341971295069804,315.7102086544037
28,1.5738190736918323,-3.3435632367765558,2.4340344707607544,-1.0645143541421473,0.021925052634691147,0.37582025323746027,0.5351448760623425,315.1777558326721
29,1.5711625763103272,-3.2801010019785233,2.3771875036571894,-1.052415479577409,0.021269009132750625,0.37560112407023627,0.5344118418645316,315.664852142334
30,1.4352567761608985,-3.22678987200545,2.35062450956313,-1.021111896214477,0.020343271413212818,0.37563005636072944,0.5349028377255658,316.38358902931213
31,1.3674361769453764,-3.166657777514907,2.30358689600736,-1.0016163856229083,0.019647247426437895,0.370355469274762,0.5350722459565221,315.6175892353058
32,1.4201599499669901,-3.1124075080742575,2.2617927207205297,-0.9846014668540993,0.019108169171405783,0.3692361675909286,0.5348880495193182,315.50429677963257
33,1.33239116304932,-3.067286044151985,2.235310124651342,-0.9646332513602208,0.01840528851247236,0.3697389321667807,0.5351673910198863,315.95494532585144
34,1.3435875364636953,-3.021079272973703,2.2100753019506163,-0.9397340983708122,0.017817962852597482,0.3657268463585681,0.5354776843609912,315.9984784126282
35,1.3473687984906466,-2.9669520991905,2.1415738956343415,-0.9471069898906102,0.017095293513559248,0.3678192571276509,0.5352015847954829,315.46317887306213
36,1.323514978197673,-2.923566863072657,2.144645966259779,-0.8964631686154305,0.016530620784724812,0.3647496676173735,0.5344430306919306,315.79928612709045
37,1.280755150352055,-2.8900671000351044,2.085093522962423,-0.9221608497087012,0.016215433204115642,0.3644607303341481,0.5349787857228073,316.04289388656616
38,1.2361779962154165,-2.8385955330205777,2.048066339529721,-0.9017799025655792,0.015469776869012106,0.3611978461633892,0.5351597127962655,316.03935265541077
39,1.3455744069517035,-2.808955873008323,2.0194811804865296,-0.8997035688189636,0.015205618411752332,0.36230726278235126,0.5347410010929807,315.82688426971436
40,1.2283949660685964,-2.769945208779177,2.0094968982361134,-0.8671006903231294,0.014653811567844458,0.359055652592788,0.5352777063319113,315.2600429058075
41,1.2213213117475306,-2.734074915932343,1.9792304616032919,-0.859049791815148,0.014309510559210962,0.3599498389870418,0.534973716163153,314.6504135131836
42,1.1890851077158593,-2.69508337605316,1.9373663114701714,-0.859351227029348,0.013855517217412582,0.35834561309079005,0.5356544950969904,315.51118206977844
43,1.2070361469812247,-2.655400339405696,1.9055972401813313,-0.8472031747142863,0.013507010146160757,0.35858388118888573,0.5354587352833464,314.87948179244995
