epoch,g_loss,d_loss,d_real,d_fake,gp,feature_matching,pixel_diversity,epoch_time
4,1.9118253017167,1.0830474898275624,1.2941392535837097,-1.0014580696445623,0.0,0.0,0.5352713754294645,246.70085334777832
5,1.8960725552721511,1.0550186300247568,1.3696236129274402,-1.0545852038886883,0.0,0.0,0.5351873042459886,248.23109769821167
1,3.391091852475961,1.0440244445607876,1.670629400602164,-1.3297167846870606,0.0,0.0,0.4486769153471617,126.947030544281
2,2.4176222042530284,0.9961132265523773,1.5485817651851892,-1.1982003140967343,0.0,0.0,0.5357101508775343,131.90645813941956
3,1.9834069354381936,1.1045369159632779,1.2960407309982969,-0.9769354519827524,0.0,0.0,0.5383279825055645,129.92006731033325
4,1.890161480029336,1.0928020883827234,1.3076086902317465,-0.9506637170603535,0.0,0.0,0.5362827103448427,126.48415660858154
5,1.8921599373146043,1.0685871164355658,1.3827392199511173,-1.0436020899615834,0.0,0.0,0.5355789728848883,127.32851338386536
6,1.9300339049253468,1.046704313961504,1.5289642482857053,-1.137477581003356,0.0,0.0,0.5337764913717805,126.69041132926941
7,2.0349390387332584,1.0044244195130922,1.7377286959173424,-1.299458671793019,0.0,0.0,0.5326184997365688,125.15513753890991
8,2.13444552499702,0.9792359465292824,1.8999614220008951,-1.4571717288998556,0.0,0.0,0.5313228770393488,122.88551545143127
9,2.2462264121040305,0.9372584621613909,2.0983661550206665,-1.6056485883402962,0.0,0.0,0.5304606775040873,122.26432037353516
10,2.325584902836648,0.8914894249888347,2.228267957011353,-1.7532331683289133,0.0,0.0,0.528913932545146,122.96685409545898
11,2.3892857097159936,0.8459594578643514,2.316566906895903,-1.871468649347055,0.0,0.0,0.5275827491403983,122.64879870414734
12,2.4571106762103687,0.7946683542918315,2.385365949092402,-2.0001190574327543,0.0,0.0,0.5287564345806196,122.6673653125763
13,2.4872045184046443,0.7777636938465832,2.442673728615281,-2.0499828220080163,0.0,0.0,0.528083290862374,124.8833475112915
14,2.521808864117874,0.7476755783395128,2.434625357317629,-2.134836910264249,0.0,0.0,0.528068087288613,123.61386966705322
15,2.542851546039868,0.7486773323922332,2.450114718010218,-2.1560684287603875,0.0,0.0,0.5282094158919813,123.0390477180481
16,2.595437070277111,0.7034165248105257,2.457855748425929,-2.2567087148025387,0.0,0.0,0.5276866795780083,123.47825980186462
17,2.5935302936011637,0.7187870209648094,2.4890352379596603,-2.2353816787075305,0.0,0.0,0.5276235747616149,123.60542702674866
18,2.60733324148505,0.6824798035410653,2.4980909407124696,-2.2902505063079768,0.0,0.0,0.5259383078735185,122.3863160610199
19,2.626977982402187,0.6774413028800231,2.4842491842889936,-2.318653637615142,0.0,0.0,0.5259100566847738,122.20072197914124
20,2.631121903540173,0.6872561117716595,2.479034390375866,-2.323360986670882,0.0,0.0,0.5253308478898254,121.97119665145874
21,2.6472145983979916,0.6578135213870013,2.474011953303169,-2.3669036904905654,0.0,0.0,0.5251469266248865,121.71436262130737
22,2.64723729729351,0.6553689027782035,2.4951980915438625,-2.368797659382987,0.0,0.0,0.5258679375448058,122.5317268371582
23,2.6483567599324904,0.6524525398550987,2.4977807660496474,-2.385485225987024,0.0,0.0,0.5246755501676902,123.30825710296631
24,2.6643629020784054,0.6540388296135758,2.49155240413037,-2.3948274878808564,0.0,0.0,0.5250263406451222,123.94435429573059
25,2.6626673590971155,0.6486094957582568,2.500184516114561,-2.396687028901922,0.0,0.0,0.52542182616654,122.78526186943054
26,2.654100083059592,0.6431559014184737,2.5024686562540257,-2.4040779184365197,0.0,0.0,0.5242052083333434,122.90870404243469
27,2.66222123151784,0.6272219933767235,2.513861158149206,-2.4201931282925018,0.0,0.0,0.5219982431827092,123.30725431442261
28,2.6694907301003123,0.6348085445263594,2.493808572377195,-2.4295341095824723,0.0,0.0,0.5240517157670369,122.5087661743164
29,2.660603960304887,0.6308295917420562,2.5263347906754006,-2.4152554417671883,0.0,0.0,0.5243959126030902,124.8509910106659
30,2.676720581110449,0.6277474594854675,2.511092595541767,-2.4275286042163273,0.0,0.0,0.5237653000390936,125.81462740898132
1,3.283403999510065,1.064367257086878,1.5715096907139146,-1.2438830105810368,0.0,0.0,0.4588673766419838,125.7523307800293
2,2.3413778851291474,1.0037567309950457,1.5096499730489075,-1.1910676129604425,0.0,0.0,0.5361873431015859,125.13107895851135
3,2.009603808731707,1.0783141185299938,1.3133013667509328,-1.0193491759998476,0.0,0.0,0.5387264956565934,123.82819128036499
4,1.934906023407329,1.078348836992242,1.288331773674278,-0.987293981735073,0.0,0.0,0.5368784072087176,123.06252336502075
5,1.9289694929403616,1.0725823377839534,1.3818005655059773,-1.066519254749681,0.0,0.0,0.5357167387355293,124.79627513885498
6,1.96535627756329,1.0298777757643447,1.5978874653152764,-1.1846521720902432,0.0,0.0,0.533646562326271,125.95796632766724
7,2.140909618918234,0.9747580352384131,1.73958851292249,-1.4121632580615948,0.0,0.0,0.5309292212524245,128.3368375301361
8,2.196206901983067,0.9450310926823188,1.9249307688934358,-1.5294236612150636,0.0,0.0,0.5304065020437035,126.13029026985168
9,2.3059796398286574,0.9054060421610903,2.076864275917665,-1.678514742517347,0.0,0.0,0.5307455824878815,125.39935851097107
10,2.3787829451140503,0.8708924309417662,2.2033268664192347,-1.8036965061268768,0.0,0.0,0.5303755083631173,126.9706163406372
11,2.459060566422121,0.8235257899037806,2.233415770051264,-1.9565099626296822,0.0,0.0,0.5305644289393793,124.41037511825562
12,2.4716742539027172,0.8303374084826517,2.28862415881552,-1.9741335432404268,0.0,0.0,0.5303482992383834,124.32196831703186
13,2.5247529431819613,0.7982684839917193,2.312304426701657,-2.0604138544262605,0.0,0.0,0.5311190954653261,124.2698302268982
14,2.5158400062033635,0.7801988385947405,2.3839580934946856,-2.074077503019814,0.0,0.0,0.5285967668676196,124.96342658996582
15,2.5530779709151736,0.7526450769036217,2.379560193678602,-2.1523714533114546,0.0,0.0,0.5286601205767332,123.62393140792847
16,2.580552801310865,0.7436317304518973,2.398964712805999,-2.192480671651633,0.0,0.0,0.5299978429350328,124.76989912986755
17,2.5874913486212905,0.718105730606542,2.4206063164099016,-2.245721211513285,0.0,0.0,0.5291717437139504,124.59132409095764
